SKU,URL,Product_Name,Variation_name
1002705064, https://shopee.co.id/Nutribaby 1 Reguler Susu Formula Tin 800gr / Nutribaby 1 Susu usia 06 bulan 800 gram-i.55555459.1002705064, Nutribaby 1 Reguler Susu Formula Tin 800gr / Nutribaby 1 Susu usia 06 bulan 800 gram, 
1653944639, https://shopee.co.id/PROMO NEOCATE LCP Susu Formula Bayi Hipoalergenik 0  12 bulan 400g / 400 g MURAH MERIAH-i.93180087.1653944639, PROMO NEOCATE LCP Susu Formula Bayi Hipoalergenik 0  12 bulan 400g / 400 g MURAH MERIAH, 
1606640357, https://shopee.co.id/Frisolac Gold 2 Susu Formula Lanjutan 612 Bln Plain 900g-i.98267254.1606640357, Frisolac Gold 2 Susu Formula Lanjutan 612 Bln Plain 900g, 
1606628045, https://shopee.co.id/Frisolac Gold 2 Susu Formula Lanjutan 612 Bln Plain 400g-i.98267254.1606628045, Frisolac Gold 2 Susu Formula Lanjutan 612 Bln Plain 400g, 
384043455, https://shopee.co.id/Wyeth S26 Promise Gold 400 gr Susu Formula Anak   Vallenca Mart-i.14222698.384043455, Wyeth S26 Promise Gold 400 gr Susu Formula Anak   Vallenca Mart, 
1364127222_2595221753, https://shopee.co.id/Morinaga Chil School Tahap 4 Susu Formula [1600 g]-i.17644932.1364127222, Morinaga Chil School Tahap 4 Susu Formula [1600 g] Vanila, Vanila
1364127222_2595221754, https://shopee.co.id/Morinaga Chil School Tahap 4 Susu Formula [1600 g]-i.17644932.1364127222, Morinaga Chil School Tahap 4 Susu Formula [1600 g] Madu, Madu
1681533495, https://shopee.co.id/PALING LARIS FRISOLAC GOLD 2 SUSU FORMULA BAYI 612BULAN FRISIO KALENG PLAIN 900GR DISKON-i.95488989.1681533495, PALING LARIS FRISOLAC GOLD 2 SUSU FORMULA BAYI 612BULAN FRISIO KALENG PLAIN 900GR DISKON, 
1561929295, https://shopee.co.id/Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G / 800 G-i.75457673.1561929295, Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G / 800 G, 
1191895901, https://shopee.co.id/Promo MORINAGA CHIL MIL Platinum Susu Formula Lanjutan Tin 800g / 800 g 3636-i.49724949.1191895901, Promo MORINAGA CHIL MIL Platinum Susu Formula Lanjutan Tin 800g / 800 g 3636, 
